x     y     z      f
0.00000 0.00000 0.00000 -0.00000
0.00000 0.00000 0.10000 -0.00000
0.00000 0.00000 0.20000 -0.00000
0.00000 0.00000 0.30000 -0.00000
0.00000 0.00000 0.40000 -0.00000
0.00000 0.00000 0.50000 -0.00000
0.00000 0.00000 0.60000 0.00000
0.00000 0.00000 0.70000 0.00000
0.00000 0.00000 0.80000 0.00000
0.00000 0.00000 0.90000 0.00000
0.00000 0.10000 0.00000 -0.12410
0.00000 0.10000 0.10000 -0.12410
0.00000 0.10000 0.20000 -0.18313
0.00000 0.10000 0.30000 -0.17808
0.00000 0.10000 0.40000 -0.10431
0.00000 0.10000 0.50000 0.00937
0.00000 0.10000 0.60000 0.11939
0.00000 0.10000 0.70000 0.18279
0.00000 0.10000 0.80000 0.16544
0.00000 0.10000 0.90000 0.00000
0.00000 0.20000 0.00000 -0.01701
0.00000 0.20000 0.10000 -0.01701
0.00000 0.20000 0.20000 -0.02426
0.00000 0.20000 0.30000 -0.02325
0.00000 0.20000 0.40000 -0.01321
0.00000 0.20000 0.50000 0.00190
0.00000 0.20000 0.60000 0.01626
0.00000 0.20000 0.70000 0.02419
0.00000 0.20000 0.80000 0.02093
0.00000 0.20000 0.90000 0.00000
0.00000 0.30000 0.00000 -0.00166
0.00000 0.30000 0.10000 -0.00166
0.00000 0.30000 0.20000 -0.00232
0.00000 0.30000 0.30000 -0.00220
0.00000 0.30000 0.40000 -0.00123
0.00000 0.30000 0.50000 0.00022
0.00000 0.30000 0.60000 0.00158
0.00000 0.30000 0.70000 0.00231
0.00000 0.30000 0.80000 0.00194
0.00000 0.30000 0.90000 0.00000
0.00000 0.40000 0.00000 -0.00013
0.00000 0.40000 0.10000 -0.00013
0.00000 0.40000 0.20000 -0.00017
0.00000 0.40000 0.30000 -0.00016
0.00000 0.40000 0.40000 -0.00009
0.00000 0.40000 0.50000 0.00002
0.00000 0.40000 0.60000 0.00012
0.00000 0.40000 0.70000 0.00017
0.00000 0.40000 0.80000 0.00014
0.00000 0.40000 0.90000 0.00000
0.00000 0.50000 0.00000 -0.00001
0.00000 0.50000 0.10000 -0.00001
0.00000 0.50000 0.20000 -0.00001
0.00000 0.50000 0.30000 -0.00001
0.00000 0.50000 0.40000 -0.00001
0.00000 0.50000 0.50000 0.00000
0.00000 0.50000 0.60000 0.00001
0.00000 0.50000 0.70000 0.00001
0.00000 0.50000 0.80000 0.00001
0.00000 0.50000 0.90000 0.00000
0.00000 0.60000 0.00000 -0.00000
0.00000 0.60000 0.10000 -0.00000
0.00000 0.60000 0.20000 -0.00000
0.00000 0.60000 0.30000 -0.00000
0.00000 0.60000 0.40000 -0.00000
0.00000 0.60000 0.50000 0.00000
0.00000 0.60000 0.60000 0.00000
0.00000 0.60000 0.70000 0.00000
0.00000 0.60000 0.80000 0.00000
0.00000 0.60000 0.90000 0.00000
0.00000 0.70000 0.00000 -0.00000
0.00000 0.70000 0.10000 -0.00000
0.00000 0.70000 0.20000 -0.00000
0.00000 0.70000 0.30000 -0.00000
0.00000 0.70000 0.40000 -0.00000
0.00000 0.70000 0.50000 0.00000
0.00000 0.70000 0.60000 0.00000
0.00000 0.70000 0.70000 0.00000
0.00000 0.70000 0.80000 0.00000
0.00000 0.70000 0.90000 0.00000
0.00000 0.80000 0.00000 -0.00000
0.00000 0.80000 0.10000 -0.00000
0.00000 0.80000 0.20000 -0.00000
0.00000 0.80000 0.30000 -0.00000
0.00000 0.80000 0.40000 -0.00000
0.00000 0.80000 0.50000 0.00000
0.00000 0.80000 0.60000 0.00000
0.00000 0.80000 0.70000 0.00000
0.00000 0.80000 0.80000 0.00000
0.00000 0.80000 0.90000 0.00000
0.00000 0.90000 0.00000 0.00000
0.00000 0.90000 0.10000 0.00000
0.00000 0.90000 0.20000 0.00000
0.00000 0.90000 0.30000 0.00000
0.00000 0.90000 0.40000 0.00000
0.00000 0.90000 0.50000 0.00000
0.00000 0.90000 0.60000 0.00000
0.00000 0.90000 0.70000 0.00000
0.00000 0.90000 0.80000 0.00000
0.00000 0.90000 0.90000 0.00000
0.10000 0.00000 0.00000 -0.55902
0.10000 0.00000 0.10000 -0.55902
0.10000 0.00000 0.20000 -0.90451
0.10000 0.00000 0.30000 -0.90451
0.10000 0.00000 0.40000 -0.55902
0.10000 0.00000 0.50000 -0.00000
0.10000 0.00000 0.60000 0.55902
0.10000 0.00000 0.70000 0.90451
0.10000 0.00000 0.80000 0.90451
0.10000 0.00000 0.90000 0.55902
0.10000 0.10000 0.00000 -0.12410
0.10000 0.10000 0.10000 -0.12418
0.10000 0.10000 0.20000 -0.18323
0.10000 0.10000 0.30000 -0.17817
0.10000 0.10000 0.40000 -0.10436
0.10000 0.10000 0.50000 0.00938
0.10000 0.10000 0.60000 0.11946
0.10000 0.10000 0.70000 0.18289
0.10000 0.10000 0.80000 0.16552
0.10000 0.10000 0.90000 0.00000
0.10000 0.20000 0.00000 -0.01701
0.10000 0.20000 0.10000 -0.01704
0.10000 0.20000 0.20000 -0.02430
0.10000 0.20000 0.30000 -0.02328
0.10000 0.20000 0.40000 -0.01322
0.10000 0.20000 0.50000 0.00191
0.10000 0.20000 0.60000 0.01629
0.10000 0.20000 0.70000 0.02422
0.10000 0.20000 0.80000 0.02096
0.10000 0.20000 0.90000 0.00000
0.10000 0.30000 0.00000 -0.00166
0.10000 0.30000 0.10000 -0.00166
0.10000 0.30000 0.20000 -0.00232
0.10000 0.30000 0.30000 -0.00220
0.10000 0.30000 0.40000 -0.00123
0.10000 0.30000 0.50000 0.00022
0.10000 0.30000 0.60000 0.00158
0.10000 0.30000 0.70000 0.00231
0.10000 0.30000 0.80000 0.00195
0.10000 0.30000 0.90000 0.00000
0.10000 0.40000 0.00000 -0.00013
0.10000 0.40000 0.10000 -0.00013
0.10000 0.40000 0.20000 -0.00018
0.10000 0.40000 0.30000 -0.00017
0.10000 0.40000 0.40000 -0.00009
0.10000 0.40000 0.50000 0.00002
0.10000 0.40000 0.60000 0.00012
0.10000 0.40000 0.70000 0.00017
0.10000 0.40000 0.80000 0.00015
0.10000 0.40000 0.90000 0.00000
0.10000 0.50000 0.00000 -0.00001
0.10000 0.50000 0.10000 -0.00001
0.10000 0.50000 0.20000 -0.00001
0.10000 0.50000 0.30000 -0.00001
0.10000 0.50000 0.40000 -0.00001
0.10000 0.50000 0.50000 0.00000
0.10000 0.50000 0.60000 0.00001
0.10000 0.50000 0.70000 0.00001
0.10000 0.50000 0.80000 0.00001
0.10000 0.50000 0.90000 0.00000
0.10000 0.60000 0.00000 -0.00000
0.10000 0.60000 0.10000 -0.00000
0.10000 0.60000 0.20000 -0.00000
0.10000 0.60000 0.30000 -0.00000
0.10000 0.60000 0.40000 -0.00000
0.10000 0.60000 0.50000 0.00000
0.10000 0.60000 0.60000 0.00000
0.10000 0.60000 0.70000 0.00000
0.10000 0.60000 0.80000 0.00000
0.10000 0.60000 0.90000 0.00000
0.10000 0.70000 0.00000 -0.00000
0.10000 0.70000 0.10000 -0.00000
0.10000 0.70000 0.20000 -0.00000
0.10000 0.70000 0.30000 -0.00000
0.10000 0.70000 0.40000 -0.00000
0.10000 0.70000 0.50000 0.00000
0.10000 0.70000 0.60000 0.00000
0.10000 0.70000 0.70000 0.00000
0.10000 0.70000 0.80000 0.00000
0.10000 0.70000 0.90000 0.00000
0.10000 0.80000 0.00000 -0.00000
0.10000 0.80000 0.10000 -0.00000
0.10000 0.80000 0.20000 -0.00000
0.10000 0.80000 0.30000 -0.00000
0.10000 0.80000 0.40000 -0.00000
0.10000 0.80000 0.50000 0.00000
0.10000 0.80000 0.60000 0.00000
0.10000 0.80000 0.70000 0.00000
0.10000 0.80000 0.80000 0.00000
0.10000 0.80000 0.90000 0.00000
0.10000 0.90000 0.00000 0.00000
0.10000 0.90000 0.10000 0.00000
0.10000 0.90000 0.20000 0.00000
0.10000 0.90000 0.30000 0.00000
0.10000 0.90000 0.40000 0.00000
0.10000 0.90000 0.50000 0.00000
0.10000 0.90000 0.60000 0.00000
0.10000 0.90000 0.70000 0.00000
0.10000 0.90000 0.80000 0.00000
0.10000 0.90000 0.90000 0.00000
0.20000 0.00000 0.00000 -0.34549
0.20000 0.00000 0.10000 -0.34549
0.20000 0.00000 0.20000 -0.55902
0.20000 0.00000 0.30000 -0.55902
0.20000 0.00000 0.40000 -0.34549
0.20000 0.00000 0.50000 -0.00000
0.20000 0.00000 0.60000 0.34549
0.20000 0.00000 0.70000 0.55902
0.20000 0.00000 0.80000 0.55902
0.20000 0.00000 0.90000 0.34549
0.20000 0.10000 0.00000 -0.05618
0.20000 0.10000 0.10000 -0.05621
0.20000 0.10000 0.20000 -0.08876
0.20000 0.10000 0.30000 -0.08028
0.20000 0.10000 0.40000 -0.04020
0.20000 0.10000 0.50000 0.01523
0.20000 0.10000 0.60000 0.06480
0.20000 0.10000 0.70000 0.08919
0.20000 0.10000 0.80000 0.07502
0.20000 0.10000 0.90000 0.00000
0.20000 0.20000 0.00000 -0.00674
0.20000 0.20000 0.10000 -0.00674
0.20000 0.20000 0.20000 -0.01054
0.20000 0.20000 0.30000 -0.00902
0.20000 0.20000 0.40000 -0.00385
0.20000 0.20000 0.50000 0.00279
0.20000 0.20000 0.60000 0.00836
0.20000 0.20000 0.70000 0.01063
0.20000 0.20000 0.80000 0.00815
0.20000 0.20000 0.90000 0.00000
0.20000 0.30000 0.00000 -0.00060
0.20000 0.30000 0.10000 -0.00060
0.20000 0.30000 0.20000 -0.00093
0.20000 0.30000 0.30000 -0.00076
0.20000 0.30000 0.40000 -0.00028
0.20000 0.30000 0.50000 0.00031
0.20000 0.30000 0.60000 0.00078
0.20000 0.30000 0.70000 0.00094
0.20000 0.30000 0.80000 0.00067
0.20000 0.30000 0.90000 0.00000
0.20000 0.40000 0.00000 -0.00004
0.20000 0.40000 0.10000 -0.00004
0.20000 0.40000 0.20000 -0.00007
0.20000 0.40000 0.30000 -0.00006
0.20000 0.40000 0.40000 -0.00002
0.20000 0.40000 0.50000 0.00002
0.20000 0.40000 0.60000 0.00006
0.20000 0.40000 0.70000 0.00007
0.20000 0.40000 0.80000 0.00005
0.20000 0.40000 0.90000 0.00000
0.20000 0.50000 0.00000 -0.00000
0.20000 0.50000 0.10000 -0.00000
0.20000 0.50000 0.20000 -0.00000
0.20000 0.50000 0.30000 -0.00000
0.20000 0.50000 0.40000 -0.00000
0.20000 0.50000 0.50000 0.00000
0.20000 0.50000 0.60000 0.00000
0.20000 0.50000 0.70000 0.00000
0.20000 0.50000 0.80000 0.00000
0.20000 0.50000 0.90000 0.00000
0.20000 0.60000 0.00000 -0.00000
0.20000 0.60000 0.10000 -0.00000
0.20000 0.60000 0.20000 -0.00000
0.20000 0.60000 0.30000 -0.00000
0.20000 0.60000 0.40000 -0.00000
0.20000 0.60000 0.50000 0.00000
0.20000 0.60000 0.60000 0.00000
0.20000 0.60000 0.70000 0.00000
0.20000 0.60000 0.80000 0.00000
0.20000 0.60000 0.90000 0.00000
0.20000 0.70000 0.00000 -0.00000
0.20000 0.70000 0.10000 -0.00000
0.20000 0.70000 0.20000 -0.00000
0.20000 0.70000 0.30000 -0.00000
0.20000 0.70000 0.40000 -0.00000
0.20000 0.70000 0.50000 0.00000
0.20000 0.70000 0.60000 0.00000
0.20000 0.70000 0.70000 0.00000
0.20000 0.70000 0.80000 0.00000
0.20000 0.70000 0.90000 0.00000
0.20000 0.80000 0.00000 -0.00000
0.20000 0.80000 0.10000 -0.00000
0.20000 0.80000 0.20000 -0.00000
0.20000 0.80000 0.30000 -0.00000
0.20000 0.80000 0.40000 -0.00000
0.20000 0.80000 0.50000 0.00000
0.20000 0.80000 0.60000 0.00000
0.20000 0.80000 0.70000 0.00000
0.20000 0.80000 0.80000 0.00000
0.20000 0.80000 0.90000 0.00000
0.20000 0.90000 0.00000 0.00000
0.20000 0.90000 0.10000 0.00000
0.20000 0.90000 0.20000 0.00000
0.20000 0.90000 0.30000 0.00000
0.20000 0.90000 0.40000 0.00000
0.20000 0.90000 0.50000 0.00000
0.20000 0.90000 0.60000 0.00000
0.20000 0.90000 0.70000 0.00000
0.20000 0.90000 0.80000 0.00000
0.20000 0.90000 0.90000 0.00000
0.30000 0.00000 0.00000 0.34549
